year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,283,7.8,2.7,9.9,0.56,1.4,0,0,0,0,0
2002,284,10.1,2.6,8.6,0.53,2,0,0,0,0,0
2002,285,8.8,3.8,7.7,0.46,3,0,0,0,0,0
2002,286,4.3,5.1,7.9,0.43,2.5,0,0,0,0,0
2002,287,4.3,4.2,8.1,0.46,1.8,0.1,0,0,0,0
2002,288,5.1,3,7.5,0.52,0.8,0,0,0,0,0
2002,289,2.3,1.5,6.4,0.65,0.6,0,0,0,0,0
2002,290,5.8,-0.5,6.6,0.74,0.7,0.1,0,0,0,0
2002,291,5.8,-0.5,5.2,0.69,0.9,0,0,0,0,0
2002,292,3.6,-1.9,4.4,0.83,1,14.1,0,0,0,0
2002,293,6.5,0.3,6.3,0.89,0.5,7.1,0,0,0,0
2002,294,4.8,1.3,6.1,0.76,1,1.4,0,0,0,0
2002,295,1.2,2.6,7.1,0.53,3.3,0.5,0,0,0,0
2002,296,1.1,5.3,9.6,0.73,5.5,8.2,0,0,0,0
2002,297,3.6,2.3,7.3,0.66,5.5,4,0,0,0,0
2002,298,0.8,3.6,10.4,0.97,2.3,21.5,0,0,0,0
2002,299,2,5.3,8.4,0.62,7.3,7,0,0,0,0
2002,300,1.2,4.6,7.8,0.66,2.3,1.5,0,0,0,0
2002,301,3.7,3.7,8.3,0.69,5.8,8.2,0,0,0,0
2002,302,3.2,3.7,8.5,0.8,2,4.5,0,0,0,0
2002,303,5.9,1.7,9.2,0.97,0.6,3.3,0,0,0,0
2002,304,3.5,5.1,8.2,0.66,3.6,6.8,0,0,0,0
2002,305,1.6,2,6.9,0.75,1.2,0.2,0,0,0,0
2002,306,5.9,0.5,6.2,0.47,1.6,0,0,0,0,0
2002,307,2.1,1.7,4.4,0.43,4.4,0,0,0,0,0
2002,308,4.3,2.4,6,0.53,2.4,0.1,0,0,0,0
2002,309,0.9,4.2,7.4,0.66,2.1,2,0,0,0,0
2002,310,0.2,5.8,10,0.8,3,34,0,0,0,0
2002,311,2.3,3.6,8.2,0.82,0.6,2.6,0,0,0,0
2002,312,3.9,1.3,6.6,0.84,0.9,0.5,0,0,0,0
2002,313,2.3,-0.3,4.4,0.72,0.7,0,0,0,0,0
2002,314,1.7,-1,2.1,0.52,2.4,0,0,0,0,0
2002,315,1.8,-1.5,1,0.45,3.8,0.4,0,0,0,0
2002,316,3.4,0.9,5.1,0.66,3.2,4,0,0,0,0
2002,317,1.5,-0.7,4,0.83,1.1,11.1,0,0,0,0
2002,318,0.6,-0.8,5.3,0.82,1.6,2.7,0,0,0,0
2002,319,2.1,5.2,8.2,0.69,2.2,6.6,0,0,0,0
2002,320,0.7,5.4,7.5,0.67,2.2,0,0,0,0,0
2002,321,0.5,2.5,6.1,0.75,1,3.5,0,0,0,0
2002,322,3,-0.3,5.3,0.89,0.6,0.2,0,0,0,0
2002,323,3.5,-2.3,3.4,0.63,0.7,0,0,0,0,0
2002,324,3.2,-4.5,1.2,0.61,0.8,0,0,0,0,0
2002,325,2.8,-3.3,3,0.67,1.8,0.7,0,0,0,0
2002,326,0.6,1.1,3.1,0.47,3.6,2.1,0,0,0,0
2002,327,0.3,1.3,3.8,0.51,2.3,0.3,0,0,0,0
2002,328,1.1,1.7,4.9,0.52,2,0.5,0,0,0,0
2002,329,1.1,1.1,6.2,0.83,1.9,2.6,0,0,0,0
2002,330,1.7,0,4,0.78,0.7,0,0,0,0,0
2002,331,1,2.9,7.3,0.79,2.1,0,0,0,0,0
2002,332,1,3.7,6.6,0.61,3.8,0.2,0,0,0,0
2002,333,1,3.4,5.7,0.48,3.2,0,0,0,0,0
2002,334,0.6,1.1,3.6,0.43,2,0,0,0,0,0
2002,335,1.3,0.8,2.7,0.46,4.9,0,0,0,0,0
2002,336,0.4,2.2,5.6,0.51,4.8,0,0,0,0,0
